ThreadID,Thread Title,URL,Date,Number of Messages
TH00984,AIDS Incidence in perspective,https://groups.google.com./g/net.motss/c/1ARcUmBKZ10,1/28/86,1
TH00983,Boskone,https://groups.google.com./g/net.motss/c/nxGxzevOthY,1/27/86,1
TH00982,"Parents, children, and sexuality.",https://groups.google.com./g/net.motss/c/1EPssNSrGNw,1/23/86,3
TH00981,A design for Living...CURRENT,https://groups.google.com./g/net.motss/c/Frm3dDOCYNQ,1/23/86,1
TH00980,"Jason's Followup to \""It Ain't Pretty",https://groups.google.com./g/net.motss/c/4LGTKEjpz_s,1/23/86,1
TH00979,The word 'Lady',https://groups.google.com./g/net.motss/c/aUoqJxaZ_Q8,1/22/86,1
TH00978,"responsibility, sensitivity, (actually ""Depression"")",https://groups.google.com./g/net.motss/c/5JMGC0oaAbk,1/21/86,9
TH00977,"On 'Lady', Gerry + Sue...",https://groups.google.com./g/net.motss/c/dqeZkZ909DU,1/21/86,1
TH00976,Thanks for the pics,https://groups.google.com./g/net.motss/c/9U-FUUynKxg,1/21/86,3
TH00975,"Sorry for the \""It Ain't Pretty\"" flame",https://groups.google.com./g/net.motss/c/0FupfN5WQ60,1/20/86,1
TH00974,"On 'Lady', Gerry + Sue = Supersillious!",https://groups.google.com./g/net.motss/c/i_aWe4kxWAs,1/18/86,1
TH00973,offensive advertising,https://groups.google.com./g/net.motss/c/vWpfOJMthd4,1/17/86,10
TH00972,R.I.P.,https://groups.google.com./g/net.motss/c/bud0EQNNl2k,1/17/86,1
TH00971,AIDS virus man-made,https://groups.google.com./g/net.motss/c/xSoMxJ3Ax8o,1/17/86,1
TH00970,"Delaney's fiction and ""ladies""",https://groups.google.com./g/net.motss/c/jXTvmQmY-Kg,1/16/86,1
TH00969,You only help him......,https://groups.google.com./g/net.motss/c/X4drVA5nVMc,1/15/86,3
TH00968,KenWatch - Small Correction,https://groups.google.com./g/net.motss/c/B4zg4J2nRwE,1/15/86,2
TH00967,Enough of KenWatch already!,https://groups.google.com./g/net.motss/c/VBBAvzvaCko,1/15/86,1
TH00966,"Is the term \""lady\"" sexist?",https://groups.google.com./g/net.motss/c/NTvbiE9eTks,1/14/86,1
TH00965,"Here we go, AGAIN!",https://groups.google.com./g/net.motss/c/mWHiBM1dNss,1/13/86,1
TH00964,"\""KenWatch\""???? - Egad!!",https://groups.google.com./g/net.motss/c/WdpHWG2xSB4,1/13/86,2
TH00963,KenWatch Volume I,https://groups.google.com./g/net.motss/c/O5bJZniZIEw,1/13/86,3
TH00962,Regarding a Coupla Subjects,https://groups.google.com./g/net.motss/c/uSQZ5wj4os4,1/13/86,1
TH00961,"Ahhh, . . . mmmm . . . a question.",https://groups.google.com./g/net.motss/c/Rf_4qwJaTto,1/12/86,1
TH00960,AIDS Virus Man-Made?,https://groups.google.com./g/net.motss/c/S1_Tef5EQJA,1/11/86,1
TH00959,I want/need emotions,https://groups.google.com./g/net.motss/c/Do47Lkbnw9I,1/11/86,3
TH00958,Arndt's effects on our readers.,https://groups.google.com./g/net.motss/c/tcm8g4rjMws,1/10/86,1
TH00957,Nude Beach,https://groups.google.com./g/net.motss/c/zKapk-2Euq0,1/10/86,2
TH00956,I want/need emotional,https://groups.google.com./g/net.motss/c/xE30a5QaF-I,1/9/86,2
