"NG_TH_ID","TH_ID","NG_ID","Thread.Title","URL","Date","Number.of.Messages","newsgroup"
"NG02_TH00744","TH00744","NG02","Before Stonewall","https://groups.google.com./g/net.motss/c/kuxInz-NzAU",1985-06-27,1,"netmotss"
"NG02_TH00743","TH00743","NG02","The History of Sex: review of research","https://groups.google.com./g/net.motss/c/JQ7_W2S3xn8",1985-06-26,1,"netmotss"
"NG02_TH00742","TH00742","NG02","NEG&L Film FEstival: screenings","https://groups.google.com./g/net.motss/c/6yaGRQ1QPE4",1985-06-26,2,"netmotss"
"NG02_TH00741","TH00741","NG02","Thanks Ken Arnold","https://groups.google.com./g/net.motss/c/ICCjf7MesMg",1985-06-25,1,"netmotss"
"NG02_TH00740","TH00740","NG02","NE Lesbian & Gay Film Festival: program #9","https://groups.google.com./g/net.motss/c/31-CWPEIzqQ",1985-06-25,1,"netmotss"
"NG02_TH00739","TH00739","NG02","NE Lesbian & Gay Film Festival: program #8","https://groups.google.com./g/net.motss/c/NMTvxsvdBgk",1985-06-25,1,"netmotss"
"NG02_TH00738","TH00738","NG02","The New England Gay & Lesbian Film Festival: Week #3","https://groups.google.com./g/net.motss/c/X9CJ0tO-2_E",1985-06-24,11,"netmotss"
"NG02_TH00737","TH00737","NG02","Query about ""Gilda"" -- (spoiler)","https://groups.google.com./g/net.motss/c/M9iWRht1Qsk",1985-06-23,1,"netmotss"
"NG02_TH00736","TH00736","NG02","Pink Narcissus","https://groups.google.com./g/net.motss/c/d3jXIABc-8U",1985-06-22,1,"netmotss"
"NG02_TH00735","TH00735","NG02","Times of Harvey Milk","https://groups.google.com./g/net.motss/c/tf9ZIoexAwc",1985-06-20,1,"netmotss"
"NG02_TH00734","TH00734","NG02","term for SO's relatives","https://groups.google.com./g/net.motss/c/A8ro3Ij4kDg",1985-06-20,3,"netmotss"
"NG02_TH00733","TH00733","NG02","Cry of the Heart","https://groups.google.com./g/net.motss/c/RJ6bGcBZSK4",1985-06-19,2,"netmotss"
"NG02_TH00732","TH00732","NG02","1985 Pride Parade","https://groups.google.com./g/net.motss/c/z-e_AEvED1I",1985-06-18,2,"netmotss"
"NG02_TH00731","TH00731","NG02","Some Views","https://groups.google.com./g/net.motss/c/e9RcbHrQPLo",1985-06-18,3,"netmotss"
"NG02_TH00730","TH00730","NG02","Let's Keep this Newsgroup for what it was intended!","https://groups.google.com./g/net.motss/c/C9NOOe_j_gU",1985-06-16,1,"netmotss"
"NG02_TH00729","TH00729","NG02","AIDS research funding","https://groups.google.com./g/net.motss/c/Je-gdeV_WSU",1985-06-16,1,"netmotss"
"NG02_TH00728","TH00728","NG02","Pentagon: Donors with HTLV-3 antibodies won't be disciplined","https://groups.google.com./g/net.motss/c/eI412PRUYQY",1985-06-13,1,"netmotss"
"NG02_TH00727","TH00727","NG02","apologies","https://groups.google.com./g/net.motss/c/we4wyfEB7y4",1985-06-12,1,"netmotss"
"NG02_TH00726","TH00726","NG02","Women and the consumption of toilet paper.","https://groups.google.com./g/net.motss/c/6zThXWtoNbw",1985-06-12,1,"netmotss"
"NG02_TH00725","TH00725","NG02","SF International Lesbian and Gay Film Festival (LONG)","https://groups.google.com./g/net.motss/c/d6MJRvBxBsM",1985-06-12,1,"netmotss"
"NG02_TH00724","TH00724","NG02","HLA-DR antibodies cause positive HTLV-3 test results.","https://groups.google.com./g/net.motss/c/AbEsyZIkbz8",1985-06-11,2,"netmotss"
"NG02_TH00723","TH00723","NG02","Articles on gay Nicaraguans","https://groups.google.com./g/net.motss/c/Jhp86WCcKpg",1985-06-10,3,"netmotss"
"NG02_TH00722","TH00722","NG02","N.E. Gay Film Festival--Program #2","https://groups.google.com./g/net.motss/c/7EWAtmFD73I",1985-06-09,1,"netmotss"
"NG02_TH00721","TH00721","NG02","New England Gay Film Festival--Program #1","https://groups.google.com./g/net.motss/c/gpK72tNYWWM",1985-06-07,2,"netmotss"
"NG02_TH00720","TH00720","NG02","a request for a technical term concerning male homosexuality","https://groups.google.com./g/net.motss/c/_oNk3_iKu_o",1985-06-06,2,"netmotss"
"NG02_TH00719","TH00719","NG02","The New England Gay & Lesbian Film Festival: Week #2","https://groups.google.com./g/net.motss/c/m5-g95vX5as",1985-06-05,1,"netmotss"
"NG02_TH00718","TH00718","NG02","News England Gay & Lesbian Fil Festival: Week #1 Schedule","https://groups.google.com./g/net.motss/c/U6aN_z_rAfg",1985-06-04,2,"netmotss"
"NG02_TH00717","TH00717","NG02","Lesbian & Gay Film Festival in Cambridge, MA","https://groups.google.com./g/net.motss/c/_5b17HM703A",1985-06-03,1,"netmotss"
"NG02_TH00716","TH00716","NG02","Political Progress in Rochester","https://groups.google.com./g/net.motss/c/l50gK6GSoTU",1985-05-31,1,"netmotss"
"NG02_TH00715","TH00715","NG02","net.humor (please don't take offense)","https://groups.google.com./g/net.motss/c/9GUyOOWUmMI",1985-05-30,1,"netmotss"
"NG02_TH00714","TH00714","NG02","Personal Ad Hints","https://groups.google.com./g/net.motss/c/6A73BnrMiME",1985-05-29,1,"netmotss"
"NG02_TH00713","TH00713","NG02","Anti-AIDS drugs promising.","https://groups.google.com./g/net.motss/c/MzPyTU4bavw",1985-05-28,1,"netmotss"
"NG02_TH00712","TH00712","NG02","Yuppies","https://groups.google.com./g/net.motss/c/RUW1ElCkB1Y",1985-05-27,16,"netmotss"
"NG02_TH00711","TH00711","NG02","Data: Homosexuality may not be learned","https://groups.google.com./g/net.motss/c/DuQF-VQciSg",1985-05-26,22,"netmotss"
"NG02_TH00710","TH00710","NG02","gay genes (anthropological musings)","https://groups.google.com./g/net.motss/c/wGcfSsGFvpw",1985-05-25,1,"netmotss"
"NG02_TH00709","TH00709","NG02","I am what I am","https://groups.google.com./g/net.motss/c/K9YAk9bBSak",1985-05-25,1,"netmotss"
"NG02_TH00708","TH00708","NG02","gay genes","https://groups.google.com./g/net.motss/c/YHgy4TsK0M8",1985-05-23,8,"netmotss"
"NG02_TH00707","TH00707","NG02","Sex by Numbers (not prostitution!)","https://groups.google.com./g/net.motss/c/m0wg5Ozrtc8",1985-05-22,2,"netmotss"
"NG02_TH00706","TH00706","NG02","Nazi concentration camps","https://groups.google.com./g/net.motss/c/ahWKleY_DFQ",1985-05-21,3,"netmotss"
"NG02_TH00705","TH00705","NG02","gay genes II","https://groups.google.com./g/net.motss/c/beE5BYFFh9w",1985-05-16,1,"netmotss"
"NG02_TH00704","TH00704","NG02","A correction to my drugs and rape posting","https://groups.google.com./g/net.motss/c/OxhrhxuDDSU",1985-05-13,7,"netmotss"
"NG02_TH00703","TH00703","NG02","Info wanted (didn't listen to NPR)","https://groups.google.com./g/net.motss/c/O7V8i1XjbaA",1985-05-10,1,"netmotss"
"NG02_TH00702","TH00702","NG02","A.I.D.S.","https://groups.google.com./g/net.motss/c/_O83-v57CkU",1985-05-08,1,"netmotss"
"NG02_TH00701","TH00701","NG02","drugged and raped","https://groups.google.com./g/net.motss/c/4jzQ5X-uNZo",1985-05-08,1,"netmotss"
"NG02_TH00700","TH00700","NG02","news item","https://groups.google.com./g/net.motss/c/YcT0zpj64S0",1985-05-08,1,"netmotss"
"NG02_TH00699","TH00699","NG02","Potential invisibility","https://groups.google.com./g/net.motss/c/U5ICWBXmnAc",1985-05-07,3,"netmotss"
"NG02_TH00698","TH00698","NG02","Drugged and Raped","https://groups.google.com./g/net.motss/c/fsELgb7x_MM",1985-05-07,2,"netmotss"
"NG02_TH00697","TH00697","NG02","Gay magazines","https://groups.google.com./g/net.motss/c/rnTjffleRwU",1985-05-05,3,"netmotss"
"NG02_TH00696","TH00696","NG02","re Re Yuppies","https://groups.google.com./g/net.motss/c/Pwbx_34RsTQ",1985-05-03,4,"netmotss"
"NG02_TH00695","TH00695","NG02","Followup to ""Embarassing moment or a good laugh""","https://groups.google.com./g/net.motss/c/e2psSe0AMO4",1985-05-02,1,"netmotss"
"NG02_TH00694","TH00694","NG02","Embarassing moment or a good laugh (depends on your outlook!)","https://groups.google.com./g/net.motss/c/QXMiKEujCmk",1985-05-02,1,"netmotss"
"NG02_TH00693","TH00693","NG02","Psychotic ex-lovers","https://groups.google.com./g/net.motss/c/c-oB9fjMDyM",1985-05-01,1,"netmotss"
"NG02_TH00692","TH00692","NG02","Alcohol and It's Effect on Relationships","https://groups.google.com./g/net.motss/c/xgt9i__xzqY",1985-05-01,1,"netmotss"
"NG02_TH00691","TH00691","NG02","Let's Boogie! Meeting Other Netters (classified ads)","https://groups.google.com./g/net.motss/c/zpxeBO1HYlc",1985-05-01,1,"netmotss"
"NG02_TH00690","TH00690","NG02","Who's alive in New England?","https://groups.google.com./g/net.motss/c/4v4II4hOA_Y",1985-05-01,2,"netmotss"
"NG02_TH00689","TH00689","NG02","A white man speaks his mind. (Part 2)","https://groups.google.com./g/net.motss/c/7nFVM7W-VAY",1985-04-29,1,"netmotss"
"NG02_TH00688","TH00688","NG02","homophobia","https://groups.google.com./g/net.motss/c/p6ogZetX72Q",1985-04-25,2,"netmotss"
"NG02_TH00687","TH00687","NG02","Role models for gay relationships","https://groups.google.com./g/net.motss/c/yFLwuWYujg4",1985-04-25,7,"netmotss"
"NG02_TH00686","TH00686","NG02","Gay Role Models","https://groups.google.com./g/net.motss/c/-EK-vOsKp1c",1985-04-25,1,"netmotss"
"NG02_TH00685","TH00685","NG02","Terminology","https://groups.google.com./g/net.motss/c/T4_PNoNcVT8",1985-04-25,1,"netmotss"
"NG02_TH00684","TH00684","NG02","The Word ""homophobe""","https://groups.google.com./g/net.motss/c/7iNj0Kj6770",1985-04-21,1,"netmotss"
"NG02_TH00683","TH00683","NG02","left ear/right ear earring confusion","https://groups.google.com./g/net.motss/c/syUVrE-_qro",1985-04-21,1,"netmotss"
"NG02_TH00682","TH00682","NG02","Re re re Question about Flavoured Lubes (sophie)","https://groups.google.com./g/net.motss/c/6_JLJtIEMfI",1985-04-20,1,"netmotss"
"NG02_TH00681","TH00681","NG02","Donor Insemination","https://groups.google.com./g/net.motss/c/NYBBrYilIDo",1985-04-20,4,"netmotss"
"NG02_TH00680","TH00680","NG02","The Movie The Best Way","https://groups.google.com./g/net.motss/c/Bv2cmMbu3u8",1985-04-19,1,"netmotss"
"NG02_TH00679","TH00679","NG02","Question about Flavored Lubes","https://groups.google.com./g/net.motss/c/uE90lPJzV24",1985-04-19,2,"netmotss"
"NG02_TH00678","TH00678","NG02","Gay Publications","https://groups.google.com./g/net.motss/c/RlfZpkl4fOA",1985-04-19,3,"netmotss"
"NG02_TH00677","TH00677","NG02","why gays like to be visible","https://groups.google.com./g/net.motss/c/ikUTfp0NGlw",1985-04-18,18,"netmotss"
"NG02_TH00676","TH00676","NG02","SanFrancisco","https://groups.google.com./g/net.motss/c/J7ZXydQ1F9g",1985-04-18,1,"netmotss"
"NG02_TH00675","TH00675","NG02","Single Parenting","https://groups.google.com./g/net.motss/c/B_ApnpNpVaE",1985-04-17,1,"netmotss"
"NG02_TH00674","TH00674","NG02","Any CompuServe CBers out there on Channel 33?","https://groups.google.com./g/net.motss/c/dZQQD8gNNR0",1985-04-17,1,"netmotss"
"NG02_TH00673","TH00673","NG02","AIDS virus and monkeys","https://groups.google.com./g/net.motss/c/pU5k6ah41RU",1985-04-15,2,"netmotss"
"NG02_TH00672","TH00672","NG02","nonoxynol-9","https://groups.google.com./g/net.motss/c/RPBbrdst2EI",1985-04-15,4,"netmotss"
"NG02_TH00671","TH00671","NG02","Resurgence of hatred","https://groups.google.com./g/net.motss/c/gmoOeJsU-I0",1985-04-14,1,"netmotss"
"NG02_TH00670","TH00670","NG02","nonoxynol-9 cretin","https://groups.google.com./g/net.motss/c/OeyUQ7O4erI",1985-04-12,1,"netmotss"
"NG02_TH00669","TH00669","NG02","Re. Sex by Numbers","https://groups.google.com./g/net.motss/c/FpeBQwxc7RM",1985-04-09,1,"netmotss"
"NG02_TH00668","TH00668","NG02","Videotaping of the Boston Gay Pride Parade","https://groups.google.com./g/net.motss/c/NbyYxzpY29g",1985-04-08,1,"netmotss"
"NG02_TH00667","TH00667","NG02","Single men who want kids?","https://groups.google.com./g/net.motss/c/EXfnShYyfOA",1985-04-08,10,"netmotss"
"NG02_TH00666","TH00666","NG02","BRUCE, the ""gay"" name (?)","https://groups.google.com./g/net.motss/c/rJ2XkCWwE94",1985-04-08,3,"netmotss"
"NG02_TH00665","TH00665","NG02","re Re Bruce, the gay name","https://groups.google.com./g/net.motss/c/nQLhuP4DCXA",1985-04-05,1,"netmotss"
"NG02_TH00664","TH00664","NG02","another Egypt","https://groups.google.com./g/net.motss/c/ujw0HcMbmxw",1985-04-05,3,"netmotss"
"NG02_TH00663","TH00663","NG02","Gay/Straight Differences","https://groups.google.com./g/net.motss/c/QcG96JuKr6s",1985-04-05,2,"netmotss"
"NG02_TH00662","TH00662","NG02","excuse me for staring","https://groups.google.com./g/net.motss/c/L-Ajgmv85ak",1985-04-05,1,"netmotss"
"NG02_TH00661","TH00661","NG02","PARTY IN COLUMBUS!","https://groups.google.com./g/net.motss/c/oSH3Vn6n-Bw",1985-04-05,1,"netmotss"
"NG02_TH00660","TH00660","NG02","Kids but no marriage, negative comments","https://groups.google.com./g/net.motss/c/IdpQY9xkR6M",1985-04-04,2,"netmotss"
"NG02_TH00659","TH00659","NG02","SPEAKERS BUREAU NEEDS ADVICE","https://groups.google.com./g/net.motss/c/YUZcP5o1f5Y",1985-04-03,1,"netmotss"
"NG02_TH00658","TH00658","NG02","The Times of Harvey Milk","https://groups.google.com./g/net.motss/c/eBDtL_rc3VE",1985-04-03,1,"netmotss"
"NG02_TH00657","TH00657","NG02","Can hetero/homo be roommates?","https://groups.google.com./g/net.motss/c/SrNXD4yL-cs",1985-04-02,1,"netmotss"
"NG02_TH00656","TH00656","NG02","Re : Bruce, the gay name","https://groups.google.com./g/net.motss/c/9XT5DY3As_E",1985-04-02,1,"netmotss"
"NG02_TH00655","TH00655","NG02","Single men who want kids? The results! & a new question.","https://groups.google.com./g/net.motss/c/q0r1v2YGt5I",1985-04-02,2,"netmotss"
"NG02_TH00654","TH00654","NG02","G.S.G.R.A. rodeo","https://groups.google.com./g/net.motss/c/g2xrMglU-7o",1985-04-01,1,"netmotss"
"NG02_TH00653","TH00653","NG02","Tim Maroney, roommates and ""discrimination""","https://groups.google.com./g/net.motss/c/CDgkOsHCAvc",1985-04-01,2,"netmotss"
"NG02_TH00652","TH00652","NG02","Whoops....syntax error on first try","https://groups.google.com./g/net.motss/c/VZdHIpdZPss",1985-04-01,1,"netmotss"
"NG02_TH00651","TH00651","NG02","Gay organizations (part 4): professional","https://groups.google.com./g/net.motss/c/PgrI0KBtdvE",1985-04-01,3,"netmotss"
"NG02_TH00650","TH00650","NG02","having children without marriage","https://groups.google.com./g/net.motss/c/Jx2b4iGLsx8",1985-04-01,1,"netmotss"
"NG02_TH00649","TH00649","NG02","Single men who want kids? (A Flaming Response)","https://groups.google.com./g/net.motss/c/6MWzfBXgfS8",1985-03-31,1,"netmotss"
"NG02_TH00648","TH00648","NG02","Chapter 5: A Clean Closet","https://groups.google.com./g/net.motss/c/IyqmwP6La58",1985-03-29,1,"netmotss"
"NG02_TH00647","TH00647","NG02","To Ken Arndt","https://groups.google.com./g/net.motss/c/xSsk56PNZfs",1985-03-27,2,"netmotss"
"NG02_TH00646","TH00646","NG02","Interviews","https://groups.google.com./g/net.motss/c/PJMm10eiUbM",1985-02-28,1,"netmotss"
"NG02_TH00645","TH00645","NG02","More on ""Forumo"", an international gay newsletter","https://groups.google.com./g/net.motss/c/qzock90XezI",1985-03-26,1,"netmotss"
"NG02_TH00644","TH00644","NG02","Torchsong Trilogy Tour","https://groups.google.com./g/net.motss/c/_wYd1FYNkKI",1985-03-26,1,"netmotss"
"NG02_TH00643","TH00643","NG02","re Helping a friend come out","https://groups.google.com./g/net.motss/c/YS0REg92ycw",1985-03-26,1,"netmotss"
"NG02_TH00642","TH00642","NG02","Helping a friend come out","https://groups.google.com./g/net.motss/c/E7Zp5UnqtWs",1985-03-25,1,"netmotss"
"NG02_TH00641","TH00641","NG02","To Bill Heiser","https://groups.google.com./g/net.motss/c/pk8NUdNoLxo",1985-03-21,2,"netmotss"
"NG02_TH00640","TH00640","NG02","no messages......... (lesbian pornography)","https://groups.google.com./g/net.motss/c/bA5zngGI-Lw",1985-03-20,1,"netmotss"
"NG02_TH00639","TH00639","NG02","Comments on mail about Robert DeB's situation","https://groups.google.com./g/net.motss/c/0-E9X0jqDZg",1985-03-20,1,"netmotss"
"NG02_TH00638","TH00638","NG02","love poem","https://groups.google.com./g/net.motss/c/-CuWVygLDuE",1985-03-20,1,"netmotss"
"NG02_TH00637","TH00637","NG02","Coming Out at Work & Corporate Lawyers","https://groups.google.com./g/net.motss/c/F38Eg59ZEO4",1985-03-20,3,"netmotss"
"NG02_TH00636","TH00636","NG02","no messages.........","https://groups.google.com./g/net.motss/c/FgD8Uy8LwDY",1985-03-18,6,"netmotss"
"NG02_TH00635","TH00635","NG02","Oh, Robert","https://groups.google.com./g/net.motss/c/3ZRBkHdUHW8",1985-03-18,1,"netmotss"
"NG02_TH00634","TH00634","NG02","To Robert D","https://groups.google.com./g/net.motss/c/5eEm-cYo7F0",1985-03-18,1,"netmotss"
"NG02_TH00633","TH00633","NG02","Coming out at work","https://groups.google.com./g/net.motss/c/IazSAA1Vvx8",1985-03-18,1,"netmotss"
"NG02_TH00632","TH00632","NG02","to Robert DeBenedictis","https://groups.google.com./g/net.motss/c/nimTlRfEaMU",1985-03-18,2,"netmotss"
"NG02_TH00631","TH00631","NG02","2nd AIDS test approved","https://groups.google.com./g/net.motss/c/0M-_CBUZnkI",1985-03-17,2,"netmotss"
"NG02_TH00630","TH00630","NG02","Michael Jackson & Reagan's son Ronny Junior","https://groups.google.com./g/net.motss/c/uhuecSyaGGU",1985-02-22,7,"netmotss"
"NG02_TH00629","TH00629","NG02","The meaning of statistics","https://groups.google.com./g/net.motss/c/DjulkvH_1qw",1985-02-21,1,"netmotss"
"NG02_TH00628","TH00628","NG02","req. for info-Boston","https://groups.google.com./g/net.motss/c/xbKEl_FTR-U",1985-02-18,1,"netmotss"
"NG02_TH00627","TH00627","NG02","Party in Dallas","https://groups.google.com./g/net.motss/c/ALh7L6CELco",1985-02-18,4,"netmotss"
"NG02_TH00626","TH00626","NG02","Heterosexual Questionnaire","https://groups.google.com./g/net.motss/c/rosQc0MmU2I",1985-02-18,1,"netmotss"
"NG02_TH00625","TH00625","NG02","req. for info - boston","https://groups.google.com./g/net.motss/c/RKboAf0Arzk",1985-02-16,1,"netmotss"
"NG02_TH00624","TH00624","NG02","No Comment about ""Consenting Adult""","https://groups.google.com./g/net.motss/c/LUO-zrLL6W4",1985-02-16,1,"netmotss"
"NG02_TH00623","TH00623","NG02","Some spermicides may lower risk of AIDS","https://groups.google.com./g/net.motss/c/Cekf-bIGbcM",1985-02-16,2,"netmotss"
"NG02_TH00622","TH00622","NG02","Jason on Bad Relationships","https://groups.google.com./g/net.motss/c/jEiUB6g9h84",1985-02-15,2,"netmotss"
"NG02_TH00621","TH00621","NG02","Golden State Gay Rodeo Assoc. Cocktail Party in San Francisco","https://groups.google.com./g/net.motss/c/tDBIx_I18hc",1985-02-14,1,"netmotss"
"NG02_TH00620","TH00620","NG02","Gay Rodeo in Los Angeles","https://groups.google.com./g/net.motss/c/omP-LQCzEGA",1985-02-14,1,"netmotss"
"NG02_TH00619","TH00619","NG02","Valentine Day -- a unique gift","https://groups.google.com./g/net.motss/c/8CurJFRD9jA",1985-02-12,1,"netmotss"
"NG02_TH00618","TH00618","NG02","Homosexuality and the bible","https://groups.google.com./g/net.motss/c/MfWZuLLNtX4",1985-02-11,4,"netmotss"
"NG02_TH00617","TH00617","NG02","UC BANS HOMOPHOBIC RECRUITERS","https://groups.google.com./g/net.motss/c/W6lgKw0i8-E",1985-02-11,1,"netmotss"
"NG02_TH00616","TH00616","NG02","Reds under the bed? Some readings","https://groups.google.com./g/net.motss/c/e9xbvVQkjBQ",1985-02-11,1,"netmotss"
"NG02_TH00615","TH00615","NG02","No Comment about ""Consenting Adult""","https://groups.google.com./g/net.motss/c/LLIxI3IURlI",1985-02-11,1,"netmotss"
"NG02_TH00614","TH00614","NG02","Am I missing news articles?","https://groups.google.com./g/net.motss/c/3Twm_Q-13Wk",1985-02-11,1,"netmotss"
"NG02_TH00613","TH00613","NG02","What, no comments on ""Consenting Adult""?","https://groups.google.com./g/net.motss/c/nMwXNePCOBc",1985-02-10,3,"netmotss"
"NG02_TH00612","TH00612","NG02","Drug kills alleged AIDS virus in bloodstream","https://groups.google.com./g/net.motss/c/LE7sZT5ALHk",1985-02-08,1,"netmotss"
"NG02_TH00611","TH00611","NG02","We're everywhere","https://groups.google.com./g/net.motss/c/vZKzwgB3EmQ",1985-02-08,1,"netmotss"
"NG02_TH00610","TH00610","NG02","Info request: Communist persecution of gays","https://groups.google.com./g/net.motss/c/LWC-s_fdJmc",1985-02-06,1,"netmotss"
"NG02_TH00609","TH00609","NG02","AnFirst step towards an AIDS vaccine","https://groups.google.com./g/net.motss/c/lHC1FRzMpeA",1985-02-05,1,"netmotss"
"NG02_TH00608","TH00608","NG02","The national Gay Task Force Corporate Survey (VERY long)","https://groups.google.com./g/net.motss/c/6Nt9nRmdBLg",1985-02-04,1,"netmotss"
"NG02_TH00607","TH00607","NG02","Gay organizations (part 2): lesbian","https://groups.google.com./g/net.motss/c/V07DRa4h58w",1985-02-04,1,"netmotss"
"NG02_TH00606","TH00606","NG02","Gay organizations (part 5): religious","https://groups.google.com./g/net.motss/c/kFgrfU1Ud64",1985-02-04,1,"netmotss"
"NG02_TH00605","TH00605","NG02","Gay organizations (part 3): medical","https://groups.google.com./g/net.motss/c/F-dH0vi244M",1985-02-04,1,"netmotss"
"NG02_TH00604","TH00604","NG02","Heterosexual Questionnaire","https://groups.google.com./g/net.motss/c/yD4OzkthscA",1985-02-02,1,"netmotss"
"NG02_TH00603","TH00603","NG02","YABS - offensive to gays -- FOLLOWUP","https://groups.google.com./g/net.motss/c/Jy8Xhuh9b3A",1985-02-02,1,"netmotss"
"NG02_TH00602","TH00602","NG02","""Consenting Adult"" and TV in general","https://groups.google.com./g/net.motss/c/fV4QCwf-6uY",1985-02-01,1,"netmotss"
"NG02_TH00601","TH00601","NG02","IMPROPER CONDUCT & Cuban Communism","https://groups.google.com./g/net.motss/c/zu8UknSM1-Q",1985-01-31,1,"netmotss"
"NG02_TH00600","TH00600","NG02","Christianiod intolerance","https://groups.google.com./g/net.motss/c/aOm-QnZCV1Y",1985-01-31,1,"netmotss"
"NG02_TH00599","TH00599","NG02","TV Movie: Consenting Adult","https://groups.google.com./g/net.motss/c/9V70hgSl9cc",1985-01-30,1,"netmotss"
"NG02_TH00598","TH00598","NG02","Does anyone recognise this book?","https://groups.google.com./g/net.motss/c/g_yoCrq3M-A",1985-01-29,1,"netmotss"
"NG02_TH00597","TH00597","NG02","AIDS/future attitudes","https://groups.google.com./g/net.motss/c/LInJBgsSzhU",1985-01-28,3,"netmotss"
"NG02_TH00596","TH00596","NG02","To Ron Rizzo","https://groups.google.com./g/net.motss/c/6OBmeV8txMs",1985-01-25,1,"netmotss"
"NG02_TH00595","TH00595","NG02","net.men.only? how about mail.men <a mailing list, silly!>","https://groups.google.com./g/net.motss/c/wuYCMrCalxo",1985-01-24,1,"netmotss"
"NG02_TH00594","TH00594","NG02","Time Magazine's *Man of the Year* (a reposting for those on vacation)","https://groups.google.com./g/net.motss/c/pkRqN6Y2Tx0",1985-01-24,2,"netmotss"
"NG02_TH00593","TH00593","NG02","Almendros' IMPROPER CONDUCT","https://groups.google.com./g/net.motss/c/SP_DbDFO7Hw",1985-01-23,3,"netmotss"
"NG02_TH00592","TH00592","NG02","Movie IMPROPER CONDUCT & Cuban Communism","https://groups.google.com./g/net.motss/c/E1t-8Xcd4E4",1985-01-22,1,"netmotss"
"NG02_TH00591","TH00591","NG02","A Couple of Things","https://groups.google.com./g/net.motss/c/AXBh6KenFs0",1985-01-21,1,"netmotss"
"NG02_TH00590","TH00590","NG02","Relationships: do ANY of them work?","https://groups.google.com./g/net.motss/c/dm2FIRJ9ct4",1985-01-21,1,"netmotss"
"NG02_TH00589","TH00589","NG02","Dutch Movies","https://groups.google.com./g/net.motss/c/I6JpHjvvzhU",1985-01-18,3,"netmotss"
"NG02_TH00588","TH00588","NG02","Truth, lying, and silence","https://groups.google.com./g/net.motss/c/Kj8SmQH2RUk",1985-01-17,1,"netmotss"
"NG02_TH00587","TH00587","NG02","The Kiss of the Spider Woman (mild spoiler)","https://groups.google.com./g/net.motss/c/vXbFHQc0Av8",1985-01-16,1,"netmotss"
"NG02_TH00586","TH00586","NG02","AIDS 4: Epidemiology of AIDS (long, with data)","https://groups.google.com./g/net.motss/c/0JFoaDkddfI",1985-01-15,1,"netmotss"
"NG02_TH00585","TH00585","NG02","Crown Jewels: Heat & Lust in the Raj","https://groups.google.com./g/net.motss/c/_oivACV6yfc",1985-01-15,1,"netmotss"
"NG02_TH00584","TH00584","NG02","US Supreme Court & Oklahoma Antigay Law","https://groups.google.com./g/net.motss/c/b3UzIrKlAgM",1985-01-15,1,"netmotss"
"NG02_TH00583","TH00583","NG02","homosexuality and the Bible","https://groups.google.com./g/net.motss/c/hCYabLW5MU4",1985-01-14,2,"netmotss"
"NG02_TH00582","TH00582","NG02","The cost of moderating satellite News","https://groups.google.com./g/net.motss/c/Z4lfAx-pbRQ",1985-01-13,5,"netmotss"
"NG02_TH00581","TH00581","NG02","net personals ... a pointer to a proposal","https://groups.google.com./g/net.motss/c/7w8IrCKpH9U",1985-01-11,12,"netmotss"
"NG02_TH00580","TH00580","NG02","re Re The cost of moderating satellite News","https://groups.google.com./g/net.motss/c/prqhUm2F9Jc",1985-01-11,1,"netmotss"
"NG02_TH00579","TH00579","NG02","(Eight) Nocturnes for the King of Naples","https://groups.google.com./g/net.motss/c/VaDmwPj9rPo",1985-01-10,3,"netmotss"
"NG02_TH00578","TH00578","NG02","AIDS: Reply from Craig Werner","https://groups.google.com./g/net.motss/c/Ka2d_rpqudE",1985-01-08,1,"netmotss"
"NG02_TH00577","TH00577","NG02","Test for exposure to AIDS","https://groups.google.com./g/net.motss/c/G0h9guZRBWs",1985-01-08,4,"netmotss"
"NG02_TH00576","TH00576","NG02","Campus support groups for gays: are there any of you out there?","https://groups.google.com./g/net.motss/c/Z_W37quGIbQ",1985-01-08,1,"netmotss"
"NG02_TH00575","TH00575","NG02","What is ""motss"" ?","https://groups.google.com./g/net.motss/c/n1O2B19hHvY",1985-01-08,1,"netmotss"
"NG02_TH00574","TH00574","NG02","Boswell -- Part 4 : a correction","https://groups.google.com./g/net.motss/c/tktRaK4-r0c",1985-01-04,1,"netmotss"
"NG02_TH00573","TH00573","NG02","Sperm causing immunologic suppressio","https://groups.google.com./g/net.motss/c/QhSmvz5Oq40",1985-01-04,1,"netmotss"
"NG02_TH00572","TH00572","NG02","John Boswell shows ""The bible says it's so"" : Part 4 (long)","https://groups.google.com./g/net.motss/c/JUF9l-aFSJM",1985-01-03,1,"netmotss"
"NG02_TH00571","TH00571","NG02","Holiday Questionnaire","https://groups.google.com./g/net.motss/c/3dASPD7-xh8",1985-01-02,1,"netmotss"
"NG02_TH00570","TH00570","NG02","""The Age of Consent"" by Bronski Beat","https://groups.google.com./g/net.motss/c/SXHc7w_QR1I",1985-01-02,6,"netmotss"
"NG02_TH00569","TH00569","NG02","Scientists answer a 'why' for AIDS","https://groups.google.com./g/net.motss/c/Jk7puOGY7o4",1985-01-02,2,"netmotss"
"NG02_TH00568","TH00568","NG02","Bronski Beat's ""The Age of Consent"" (+pink triangles)","https://groups.google.com./g/net.motss/c/TIbzmZWEYsk",1984-12-31,2,"netmotss"
